unitName,unitDesc,unitAbbr,unitAbbrMathJax,unitType,parentSI,multiplierToSI,constantToSI,measScale,referenceURL,referenceCitation,startUseDateDPS
degreesSquared,"360 degrees comprise a unit circle; degreesSquared is the units of the variance of degrees",deg^2,"$$ (...^{circ})^2 $$",angle,radian,NULL,NULL,ratio,NULL,NULL,2012-01-01
dekagram,"0.01 kilograms",dag,"$$ dag $$",mass,kilogram,0.01,NULL,ratio,NULL,NULL,2012-01-01
dekameter,"10 meters",dam,"$$ dam $$",length,meter,10,NULL,ratio,NULL,NULL,2012-01-01
dekasecond,"10 seconds",dasec,"$$ dasec $$",time,second,10,NULL,ratio,NULL,NULL,2012-01-01
dimensionless,"a designation asserting the absence of an associated unit",NULL,"$$ $$",dimensionless,NULL,NULL,NULL,interval,NULL,NULL,2012-01-01
equivalent,"The amount of substance which will either react with or supply one mole of hydrogen ions (H+) in an acid base reaction; or react with or supply one mole of electrons in a redox reaction",eq,"$$ eq $$",amount,NULL,NULL,NULL,ratio,https://en.wikipedia.org/wiki/Equivalent_(chemistry),NULL,2016-04-26
equivalentsPerLiter,"equivalents per liter",eq/L,"$$ eq{cdot}L^{-1} $$",amountOfSubstanceConcentration,NULL,NULL,NULL,ratio,NULL,NULL,2012-01-01
fahrenheit,"An obsolescent unit of temperature still used in popular meteorology where there is 180 degrees between the freezing point of water at 32 F and the boiling point of water at 212 F. Deg F = K * (9/5) -459.67 = Deg C * (9/5) + 32.","deg F","$$ ^{circ}F $$",temperature,kelvin,0.556,255.402,interval,NULL,NULL,2012-01-01
farad,"SI derived unit of electrical capacitance; the capacitance across which, when charged with one coulomb, there is a potential difference of one volt",F,"$$ F $$",capacitance,farad,1,NULL,ratio,NULL,NULL,2012-01-01
fathom,"6 feet",fathom,"$$ fathom $$",length,meter,1.8288,NULL,ratio,https://en.wikipedia.org/wiki/Farad,"The International System of Units (SI) (PDF) (8th ed.). Bureau International des Poids et Mesures (International Committee for Weights and Measures). 2006. p. 144.",2012-01-01
feetPerDay,"feet per day",ft/day,"$$ ft{cdot}d^{-1} $$",speed,metersPerSecond,0.00000352778,NULL,ratio,NULL,NULL,2012-01-01
feetPerHour,"feet per hour",ft/hr,"$$ ft{cdot}h^{-1} $$",speed,metersPerSecond,0.000084667,NULL,ratio,NULL,NULL,2012-01-01
feetPerSecond,"feet per second",ft/s,"$$ ft{cdot}s^{-1} $$",speed,metersPerSecond,0.3048,NULL,ratio,NULL,NULL,2012-01-01
feetSquaredPerDay,"feet squared per day",ft^2/day,"$$ ft^2{cdot}d^{-1} $$",transmissivity,metersSquaredPerSecond,0.000124586,NULL,ratio,NULL,NULL,2012-01-01
foot,"12 inches",ft,"$$ ft $$",length,meter,0.3048,NULL,ratio,NULL,NULL,2012-01-01
footPound,"1 foot-pound = 1.355818 joules",ft-lb,"$$ ft{cdot}lb $$",energy,joule,1.35582,NULL,ratio,NULL,NULL,2012-01-01
formazinNephelometricUnit,"Reflectance at 90 degrees from incident beam with near infrared source. Used for turbidity measurements.",FNU,"$$ FNU $$",luminance,NULL,NULL,NULL,ratio,NULL,"Anderson, C.W. (2005) Chapter A6.7: Turbidity published in National Field Manual for the Collection of Water-Quality Data. U.S. Geological Survey. Accessed October 14, 2015 at: http://water.usgs.gov/owq/FieldManual/",2015-10-16
gallon,"US liquid gallon",gal,"$$ gal $$",volume,liter,3.78541,NULL,ratio,NULL,NULL,2012-01-01
grad,"a plane angle equivalent to 1/400 of a full circle",grad,"$$ grad $$",angle,radian,0.015707,NULL,ratio,NULL,NULL,2012-01-01
gram,"0.001 kilograms",g,"$$ g $$",mass,kilogram,0.001,NULL,ratio,NULL,NULL,2012-01-01
gramsPerCentimeterSquaredPerSecond,"grams per centimeter squared per second",g/cm^2/s,"$$ g{cdot}cm^{-2}{cdot}s^{-1} $$",arealMassDensityRate,kilogramsPerMeterSquaredPerSecond,0.1,NULL,ratio,NULL,NULL,2012-01-01
gramsPerCubicCentimeter,"grams per cubic centimeter",g/cm^3,"$$ g{cdot}cm^{-3} $$",massDensity,kilogramsPerCubicMeter,1000,NULL,ratio,NULL,NULL,2012-01-01
gramsPerGram,"grams per gram",g/g,"$$ g{cdot}g^{-1} $$",massPerMass,kilogramsPerKilogram,1,NULL,ratio,NULL,NULL,2012-01-01
gramsPerHectarePerDay,"grams per hectare per day",g/ha/d,"$$ g{cdot}ha{cdot}d^{-1} $$",arealMassDensityRate,kilogramsPerMeterSquaredPerSecond,0.0000000000011574,NULL,ratio,NULL,NULL,2012-01-01
gramsPerHectogram,"grams per hectogram",g/hg,"$$ g{cdot}hg^{-1} $$",massPerMass,kilogramsPerKilogram,0.01,NULL,ratio,NULL,NULL,2015-02-18
gramsPerKilogram,"grams per kilogram",g/kg,"$$ g{cdot}kg^{-1} $$",massPerMass,kilogramsPerKilogram,0.001,NULL,ratio,NULL,NULL,2015-02-18
gramsPerLiter,"grams per liter",g/L,"$$ g{cdot}L^{-1} $$",massDensity,kilogramsPerCubicMeter,1,NULL,ratio,NULL,NULL,2012-01-01
gramsPerLiterPerDay,"grams per liter per day",g/L/d,"$$ g{cdot}L^{-1}{cdot}d^{-1} $$",volumetricMassDensityRate,kilogramsPerCubicMeterPerSecond,3600,NULL,ratio,NULL,NULL,2012-01-01
gramsPerMeterSquaredPerYear,"grams per meter squared per year",g/m^2/y,"$$ g{cdot}m^{-2}{cdot}y^{-1} $$",arealMassDensityRate,kilogramsPerMeterSquaredPerSecond,0.0000000000317098,NULL,ratio,NULL,NULL,2012-01-01
gramsPerMilliliter,"grams per milliliter",g/mL,"$$ g{cdot}mL^{-1} $$",massFlux,kilogramsPerSecond,0.0000000000317,NULL,ratio,NULL,NULL,2012-01-01
gramsPerSquareMeter,"grams per square meter",g/m^2,"$$ g{cdot}m^{-2} $$",arealMassDensity,kilogramsPerSquareMeter,0.001,NULL,ratio,NULL,NULL,2012-01-01
gramsPerYear,"grams per year",g/y,"$$ g{cdot}y^{-1} $$",massFlux,kilogramsPerSecond,0.0000000000317,NULL,ratio,NULL,NULL,2012-01-01
gray,"The gray is a derived unit of ionizing radiation dose in the International System of Units (SI). It is defined as the absorption of one joule of radiation energy per one kilogram of matter",Gy,"$$ Gy $$",specificEnergy,joulesPerKilogram,1,NULL,ratio,https://en.wikipedia.org/wiki/Gray_(unit),NULL,2012-01-01
gregorianYear,"365 days in an ordinary year (31536000 seconds); 366 days in a leap year (31622400 seconds)",y,"$$ y $$",time,NULL,NULL,NULL,interval,https://en.wikipedia.org/wiki/Gregorian_calendar,NULL,2012-01-01
hectare,"10000 square meters",ha,"$$ ha $$",area,squareMeter,10000,NULL,ratio,NULL,NULL,2012-01-01
hectogram,"0.1 kilogram",hg,"$$ hg $$",mass,kilogram,0.1,NULL,ratio,NULL,NULL,2012-01-01
hectometer,"100 meters",km,"$$ hm $$",length,meter,100,NULL,ratio,NULL,NULL,2012-01-01
hectosecond,"100 seconds",hs,"$$ hs $$",time,second,100,NULL,ratio,NULL,NULL,2012-01-01
henry,"SI derived unit of inductance, equal to an electromotive force of one volt in a closed circuit with a uniform rate of change of current of one ampere per second.",H,"$$ H $$",inductance,henry,1,NULL,ratio,NULL,NULL,2012-01-01
hertz,"SI derived unit of frequency, equal to one cycle per second",Hz,"$$ Hz $$",frequency,hertz,1,NULL,ratio,NULL,NULL,2012-01-01
hour,"3600 seconds",h,"$$ h $$",time,second,3600,NULL,ratio,NULL,NULL,2012-01-01
inch,"An imperial measure of length",in,"$$ in $$",length,meter,0.0254,NULL,ratio,NULL,NULL,2012-01-01
joule,"SI unit of work or energy, equal to the work done by a force of one newton when its point of application moves one meter in the direction of action of the force, equivalent to one 3600th of a watt-hour. 1 joule = 1 newton * 1 meter",J,"$$ J $$",energy,joule,1,NULL,ratio,NULL,NULL,2012-01-01
julianYear,"365.25 days of exactly 86400 SI seconds each, totalling exactly 31557600 seconds in the Julian astronomical yea",y,"$$ y $$",time,second,31557600,NULL,ratio,https://en.wikipedia.org/wiki/Julian_year_(astronomy),NULL,2012-01-01
katal,"SI derived unit for the expression of catalytic activity in moles per second. ",kat,"$$ kat $$",catalyticActivity,katal,1,NULL,ratio,NULL,NULL,2012-01-01
kelvin,"SI unit of temperature",K,"$$ K $$",temperature,kelvin,1,NULL,ratio,NULL,NULL,2012-01-01
kilogram,"SI unit of mass",kg,"$$ kg $$",mass,kilogram,1,NULL,ratio,NULL,NULL,2012-01-01
kilogramsPerCubicMeter,"kilograms per cubic meter",kg/m^3,"$$ kg{cdot}m^{-3} $$",massDensity,kilogramsPerCubicMeter,1,NULL,ratio,NULL,NULL,2012-01-01
kilogramsPerHectare,"kilograms per hectare",kg/ha,"$$ kg{cdot}ha^{-1} $$",arealMassDensity,kilogramsPerSquareMeter,0.0001,NULL,ratio,NULL,NULL,2012-01-01
kilogramsPerHectarePerYear,"kilograms per hectare per year",kg/ha/y,"$$ kg{cdot}ha{cdot}y^{-1} $$",arealMassDensityRate,kilogramsPerSquareMeterPerSecond,0.000316881,NULL,ratio,NULL,NULL,2012-01-01
kilogramsPerSecond,"kilograms per second",kg/s,"$$ kg{cdot}s^{-1} $$",massFlux,kilogramsPerSecond,1,NULL,ratio,NULL,NULL,2012-01-01
kilogramsPerSquareMeter,"kilograms per square meter",kg/m^2,"$$ kg{cdot}m^{-2} $$",arealMassDensity,kilogramsPerSquareMeter,1,NULL,ratio,NULL,NULL,2012-01-01
kilogramsPerSquareMeterPerSecond,"kilograms per square meter per second",kg/m^2/s,"$$ kg{cdot}m^{-2}{cdot}s^{-1} $$",arealMassDensityRate,kilogramsPerSquareMeterPerSecond,1,NULL,ratio,NULL,NULL,2012-01-01
kilogramsPerSquareMeterPerYear,"kilograms per square meter per year",kg/m^2/y,"$$ kg{cdot}m^{-2}{cdot}y^{-1} $$",arealMassDensityRate,kilogramsPerSquareMeterPerSecond,0.0000000316881,NULL,ratio,NULL,NULL,2012-01-01
kilohertz,kilohertz,kHz,"$$ kHz $$",frequency,hertz,1000,NULL,ratio,NULL,NULL,2012-01-01
kiloliter,"1000 cubic liters",kL,"$$ kL $$",volume,cubicMeter,1,NULL,ratio,NULL,NULL,2012-01-01
kilometer,"1000 meters",km,"$$ km $$",length,meter,1000,NULL,ratio,NULL,NULL,2012-01-01
kilometersPerHour,"kilometers per hour",km/h,"$$ km{cdot}h^{-1} $$",speed,metersPerSecond,0.2778,NULL,ratio,NULL,NULL,2012-01-01
kilopascal,"1000 pascals",kPa,"$$ kPa $$",pressure,pascal,1000,NULL,ratio,NULL,NULL,2012-01-01
kilopascalsSquared,"kilopascals squared; typically used for variance",kPa^2,"$$ kPa^2 $$",pressure,pascal,NULL,NULL,ratio,NULL,NULL,2012-01-01
kilosecond,"1000 seconds",ks,"$$ ks $$",time,second,1000,NULL,ratio,NULL,NULL,2012-01-01
kilovolt,"1000 volts",kV,"$$ kV $$",potentialDifference,volt,1000,NULL,ratio,NULL,NULL,2012-01-01
kilowatt,"1000 watts",kW,"$$ kW $$",power,watt,1000,NULL,ratio,NULL,NULL,2012-01-01
knot,"one nautical mile per hour",kn,"$$ kn $$",speed,metersPerSecond,0.514444,NULL,ratio,NULL,NULL,2012-01-01
liter,"1000 cubic centimeters",L,"$$ L $$",volume,cubicMeter,0.001,NULL,ratio,NULL,NULL,2012-01-01
litersPerHectare,"liters per hectare",L/ha,"$$ L{cdot}ha^{-1} $$",volumetricArea,cubicMetersPerSquareMeter,0.0001,NULL,ratio,NULL,NULL,2012-01-01
litersPerMinute,"liters per minute",L/min,"$$ L{cdot}min^{-1} $$",volumetricRate,cubicMetersPerSecond,0.000000277778,NULL,ratio,NULL,NULL,2012-01-01
litersPerSecond,"liters per second",L/s,"$$ L{cdot}s^{-1} $$",volumetricRate,cubicMetersPerSecond,0.001,NULL,ratio,NULL,NULL,2012-01-01
litersPerSquareMeter,"liters per square meter",L/m^2,"$$ L{cdot}m^{-2} $$",volumetricArea,cubicMetersPerSquareMeter,0.001,NULL,ratio,NULL,NULL,2012-01-01
lumen,"the luminous flux emitted in unit solid angle (steradian) by a uniform point source having a luminous intensity of 1 new candle. Equal to 1 candela * 1 steradian",lm,"$$ lm $$",luminousFlux,lumen,1,NULL,ratio,NULL,NULL,2012-01-01
lux,"one lumen per square meter",lx,"$$ lx $$",illuminance,lux,1,NULL,ratio,NULL,NULL,2012-01-01
manning,"n; the Gauckler-Manning coefficient; dependent on surface roughness and sinuosity",s/m^(1/3),"$$ s{cdot}m^{-1/3} $$",volumetricRate,NULL,NULL,NULL,ratio,NULL,NULL,NULL
megagram,"1000 kilograms",Mg,"$$ Mg $$",mass,kilogram,1000,NULL,ratio,NULL,NULL,2012-01-01
megahertz,"1000000 hertz",MHz,"$$ MHz $$",frequency,hertz,1000000,NULL,ratio,NULL,NULL,2012-01-01
megameter,"1000000 meters",Mm,"$$ Mm $$",length,meter,1000000,NULL,ratio,NULL,NULL,2012-01-01
megapascal,"1000000 pascals",MPa,"$$ Mpa $$",pressure,pascal,1000000,NULL,ratio,NULL,NULL,2012-01-01
megasecond,"1000000 seconds",Ms,"$$ Ms $$",time,second,1000000,NULL,ratio,NULL,NULL,2012-01-01
megavolt,"1000000 volts",MV,"$$ MV $$",potentialDifference,volt,1000000,NULL,ratio,NULL,NULL,2012-01-01
megawatt,"1000000 watts",MW,"$$ MW $$",power,watt,1000000,NULL,ratio,NULL,NULL,2012-01-01
meter,"0.001 kilometer",m,"$$ m $$",length,meter,1,NULL,ratio,NULL,NULL,2012-01-01
metersPerDay,"meters per day",m/d,"$$ m{cdot}d^{-1} $$",speed,metersPerSecond,0.0000115741,NULL,ratio,NULL,NULL,2012-01-01
metersPerGram,"meters per gram",m/g,"$$ m{cdot}g^{-1} $$",massSpecificLength,metersPerKilogram,0.001,NULL,ratio,NULL,NULL,2012-01-01
metersPerSecond,"meters per second",m/s,"$$ m{cdot}s^{-1} $$",speed,metersPerSecond,1,NULL,ratio,NULL,NULL,2012-01-01
metersPerSecondSquared,"meters per second squared",m/s^2,"$$ (m{cdot}s^{-1})^2 $$",acceleration,metersPerSecondSquared,1,NULL,ratio,NULL,NULL,2012-01-01
metersSquared,"meters squared; this syntax is used for variance",m^2,"$$ m^{2} $$",area,NULL,NULL,NULL,ratio,NULL,NULL,2012-01-01
metersSquaredPerDay,"meters squared per day; this syntax is used for variance",m^2/d,"$$ m^2{cdot}d^{-1} $$",transmissivity,metersSquaredPerSecond,86400,NULL,ratio,NULL,NULL,2012-01-01
metersSquaredPerMeterSquared,"meters squared per meter squared; this syntax is used for variance",m^2/m^2,"$$ m^2{cdot}m^{-2} $$",variance,NULL,NULL,NULL,ratio,NULL,NULL,2012-01-01
metersSquaredPerSecond,"meters squared per second; this syntax is used for variance",m^2/s,"$$ m^2{cdot}s^{-1} $$",transmissivity,metersSquaredPerSecond,1,NULL,ratio,NULL,NULL,2012-01-01
microgram,"0.000000001 kilograms",ug,"$$ {mu}g $$",mass,kilogram,0.000000001,NULL,ratio,NULL,NULL,2012-01-01
microgramsPerGram,"micrograms per gram",ug/g,"$$ {mu}g{cdot}g^{-1} $$",massPerMass,gramsPerGram,0.000001,NULL,ratio,NULL,NULL,2012-01-01
microgramsPerLiter,"micrograms per liter",ug/L,"$$ {mu}g{cdot}L^{-1} $$",massDensity,kilogramsPerCubicMeter,0.000001,NULL,ratio,NULL,NULL,2012-01-01
microgramsPerMilliliter,"micrograms per milliliter",um/mL,"$$ {mu}g{cdot}mL^{-1} $$",massDensity,kilogramsPerCubicMeter,0.001,NULL,ratio,NULL,NULL,2012-01-01
microgramsPerSquareMeter,"micrograms per square meter",ug/m^2,"$$ {mu}g{cdot}m^{-2} $$",arealMassDensity,kilogramsPerSquareMeter,0.000000001,NULL,ratio,NULL,NULL,2012-01-01
microliter,"0.000001 liters",uL,"$$ {mu}L $$",volume,cubicMeter,0.000000001,NULL,ratio,NULL,NULL,2012-01-01
micrometer,"0.000001 meters",um,"$$ {mu}m $$",length,meter,0.000001,NULL,ratio,NULL,NULL,2012-01-01
micromolesPerLiter,"micromoles per liter",uM/L,"$$ {mu}mol{cdot}L^{-1} $$",amountOfSubstanceConcentration,molesPerCubicMeter,0.000000001,NULL,ratio,NULL,NULL,2015-05-07
micromolesPerMole,"micromoles per mole",uM/M,"$$ {mu}mol{cdot}mol^{-1} $$",amountOfSubstanceConcentration,molesPerMole,0.000001,NULL,ratio,NULL,NULL,2016-02-04
micromolesPerSquareMeterPerSecond,"micromoles per square meter per second",uM/m^2/s,"$$ {mu}mol{cdot}m^{-2}{cdot}s^{-1} $$",arealAmountDensityRate,molesPerSquareMeterPerSecond,0.000001,NULL,ratio,NULL,NULL,2012-01-01
micromolesPerSquareMeterPerSecondSquared,"(micromoles per square meter per second) squared; typically used for variance",(uM/m^2/s)^2,"$$ ({mu}mol{cdot}m^{-2}{cdot}s^{-1})^2 $$",variance,NULL,NULL,NULL,ratio,NULL,NULL,2012-01-01
micron,"0.000001 meters",um,"$$ {mu}m $$",length,meter,0.000001,NULL,ratio,NULL,NULL,2012-01-01
microsecond,"0.000001 seconds",us,"$$ {mu}s $$",time,second,0.000001,NULL,ratio,NULL,NULL,2012-01-01
microsiemensPerCentimeter,"microsiemens per centimeter; used for concentration of ionized dissoved solids",uS/cm,"$$ {mu}S{cdot}cm^{-1} $$",NULL,NULL,NULL,NULL,ratio,NULL,NULL,2015-02-05
microsiemensPerCentimeterSquared,"microsiemens per centimeter squared; used for the variance of concentration of ionized dissoved solids",uS/cm^2,"$$ {mu}S^2{cdot}cm^{-2} $$",variance,NULL,NULL,NULL,ratio,NULL,NULL,2015-05-21
microvolt,"0.000001 volts",uV,"$$ {mu}V $$",potentialDifference,volt,0.000001,NULL,ratio,NULL,NULL,2012-01-01
microwattsPerSquareCentimeterPerSteradianPerNanometer,"microwatts per square centimeter per steradian per nanometer; used for radiance",uW/cm^2/sr/nm,"$$ {mu}W{cdot}cm^{-2}{cdot}sr^{-1}{cdot}nm^{-1} $$",intensity,NULL,NULL,NULL,ratio,NULL,NULL,2015-02-13
mile,"5280 feet or 1609.344 meters",mi,"$$ mi $$",length,meter,1609.34,NULL,ratio,NULL,NULL,2012-01-01
milesPerHour,"miles per hour",mi/h,"$$ mi{cdot}h^{-1} $$",speed,metersPerSecond,2.23694,NULL,ratio,NULL,NULL,2012-01-01
